DATE,STATION,SO2,NOX,NO2,CO,RSP,O3,FSP
1/1/2010,CENTRAL,14,166,92,65,98,N.A.,51
2/1/2010,CENTRAL,17,348,121,108,88,N.A.,55
3/1/2010,CENTRAL,8,196,97,59,27,N.A.,18
4/1/2010,CENTRAL,12,300,137,108,72,N.A.,50
5/1/2010,CENTRAL,11,230,104,105,85,N.A.,59
6/1/2010,CENTRAL,10,364,104,110,52,N.A.,36
7/1/2010,CENTRAL,16,408,104,138,38,N.A.,26
8/1/2010,CENTRAL,15,438,117,109,37,N.A.,23
9/1/2010,CENTRAL,5,249,107,64,47,N.A.,31
10/1/2010,CENTRAL,N.A.,161,96,21,55,N.A.,36
11/1/2010,CENTRAL,23,455,119,127,35,N.A.,25
12/1/2010,CENTRAL,28,446,149,119,60,N.A.,40
13-01-2010,CENTRAL,28,434,155,107,75,N.A.,49
14-01-2010,CENTRAL,18,300,140,73,78,N.A.,44
15-01-2010,CENTRAL,14,301,144,56,71,N.A.,40
16-01-2010,CENTRAL,18,280,144,55,74,N.A.,42
17-01-2010,CENTRAL,14,194,109,39,N.A.,N.A.,44
18-01-2010,CENTRAL,12,282,128,59,N.A.,N.A.,38
19-01-2010,CENTRAL,7,253,116,54,45,N.A.,31
20-01-2010,CENTRAL,11,284,113,71,51,N.A.,31
21-01-2010,CENTRAL,11,303,99,73,37,N.A.,25
22-01-2010,CENTRAL,11,217,93,81,42,N.A.,26
23-01-2010,CENTRAL,12,287,90,127,36,N.A.,29
24-01-2010,CENTRAL,14,205,86,66,54,N.A.,41
25-01-2010,CENTRAL,30,578,152,142,84,N.A.,45
26-01-2010,CENTRAL,19,283,97,110,49,N.A.,32
27-01-2010,CENTRAL,14,272,108,73,81,N.A.,43
28-01-2010,CENTRAL,43,755,185,153,115,N.A.,80
29-01-2010,CENTRAL,26,424,141,130,78,N.A.,57
30-01-2010,CENTRAL,19,287,131,104,92,N.A.,63
31-01-2010,CENTRAL,17,299,116,72,57,N.A.,39
1/2/2010,CENTRAL,38,711,159,133,66,N.A.,46
2/2/2010,CENTRAL,25,401,133,111,72,N.A.,45
3/2/2010,CENTRAL,13,241,104,79,71,N.A.,44
4/2/2010,CENTRAL,4,232,95,59,40,N.A.,23
5/2/2010,CENTRAL,N.A.,224,99,52,47,N.A.,29
6/2/2010,CENTRAL,5,232,103,63,43,N.A.,26
7/2/2010,CENTRAL,5,183,87,50,24,N.A.,15
8/2/2010,CENTRAL,8,327,118,78,36,N.A.,29
9/2/2010,CENTRAL,11,461,129,95,53,N.A.,37
